Docker,コンテナを実行するための実行環境（コンテナランタイムCRI）
Dockerレジストリ,Dockerイメージの保管/配布サーバー
Dockerコンテナが仮想マシンと比べて優れていること（2つ）,軽量・高速な起動と停止
Dockerコンテナ仕組み,ホストマシンのカーネルを利用したまま、名前空間の分離やcgroupを用いた制御によって独立したOSのような環境を実現
Dockerコンテナの設計（気をつけること4つ）,１コンテナにつき１プロセス・Immutable Infrastructureなイメージにする・軽量なDockerイメージにする・実行ユーザをroot以外にする
Dockerfileの書き方(FROM),ベースとするDockerイメージを指定
Dockerfileの書き方(EXPOSE),コンテナがListenするポートを指定
Dockerfileの書き方(COPY),ビルドを行うマシン上のファイルをコンテナにコピーして配置
Dockerfileの書き方(RUN),ビルド時にコンテナ上でコマンドを実行する命令
Dockerfileの書き方(ENTRYPOINT CMD),コンテナ起動時に実行するデフォルトのコマンドを指定
Dockerfileの書き方(USER),コマンドの実行ユーザを指定
Dockerfileの書き方(WORKDIR),コマンドを実行する作業ディレクトリを指定（ディレクトリが存在しない場合は作成する）
Dockerfileの書き方(ADD),ローカルにあるtar.gzファイルの展開をして、ファイルをコンテナにコピーする
マルチステージビルド,複数のコンテナイメージを使って処理を行い、成果物だけを実行中のコンテナイメージにコピーする仕組み

